Pclass,Age,Gender,Fare,Boarded,prediction
3.0,20.0,1.0,8.6625,0.0,0.0
3.0,28.0,0.0,22.525,0.0,0.0
3.0,28.0,0.0,7.8958,0.0,0.0
2.0,30.0,0.0,13.0,0.0,0.0
2.0,25.0,0.0,13.0,0.0,0.0
1.0,27.0,0.0,53.1,0.0,0.0
3.0,24.0,0.0,7.8958,0.0,0.0
1.0,30.0,0.0,27.75,1.0,0.0
3.0,4.0,0.0,27.9,0.0,0.0
3.0,2.0,0.0,21.075,0.0,1.0
1.0,43.0,1.0,211.3375,0.0,1.0
3.0,36.0,0.0,15.55,0.0,0.0
3.0,27.0,0.0,14.4542,1.0,0.0
3.0,9.0,0.0,15.9,0.0,0.0
2.0,44.0,1.0,26.0,0.0,1.0
3.0,25.0,0.0,17.8,0.0,0.0
1.0,39.0,1.0,79.65,0.0,1.0
1.0,50.0,0.0,55.9,0.0,0.0
1.0,40.0,1.0,153.4625,0.0,1.0
3.0,41.0,0.0,7.125,0.0,0.0
3.0,1.0,0.0,39.6875,0.0,0.0
1.0,22.0,1.0,66.6,0.0,1.0
3.0,23.0,1.0,7.55,0.0,0.0
1.0,52.0,0.0,79.65,0.0,0.0
1.0,55.0,0.0,30.5,0.0,0.0
1.0,49.0,1.0,25.9292,0.0,1.0
1.0,45.0,0.0,83.475,0.0,0.0
3.0,25.0,0.0,7.05,0.0,0.0
1.0,45.0,0.0,35.5,0.0,0.0
2.0,18.0,0.0,73.5,0.0,0.0
3.0,19.0,0.0,7.8958,0.0,0.0
2.0,24.0,1.0,65.0,0.0,1.0
2.0,42.0,0.0,27.0,0.0,0.0
3.0,5.0,1.0,12.475,0.0,0.0
3.0,6.0,1.0,31.275,0.0,0.0
3.0,8.0,1.0,21.075,0.0,0.0
3.0,21.0,0.0,7.7333,2.0,0.0
3.0,43.0,0.0,8.05,0.0,0.0
3.0,26.0,0.0,8.6625,0.0,0.0
2.0,31.0,0.0,13.0,0.0,0.0
2.0,28.0,1.0,26.0,0.0,1.0
3.0,5.0,1.0,19.2583,1.0,1.0
3.0,28.0,0.0,7.925,0.0,0.0
1.0,45.0,0.0,26.55,0.0,1.0
1.0,34.0,0.0,26.55,0.0,1.0
1.0,17.0,0.0,110.8833,1.0,0.0
3.0,18.0,0.0,20.2125,0.0,0.0
2.0,47.0,0.0,15.0,0.0,0.0
3.0,16.0,0.0,34.375,0.0,0.0
2.0,34.0,0.0,13.0,0.0,0.0
1.0,47.0,0.0,38.5,0.0,0.0
1.0,30.0,1.0,106.425,1.0,1.0
3.0,36.0,0.0,0.0,0.0,0.0
3.0,29.0,1.0,15.2458,1.0,0.0
2.0,51.0,0.0,12.525,0.0,0.0
1.0,19.0,1.0,26.2833,0.0,1.0
3.0,18.0,1.0,7.775,0.0,0.0
2.0,19.0,1.0,26.0,0.0,1.0
3.0,24.0,0.0,16.1,0.0,0.0
1.0,65.0,0.0,26.55,0.0,0.0
1.0,49.0,0.0,89.1042,1.0,0.0
3.0,47.0,0.0,7.25,0.0,0.0
1.0,49.0,0.0,110.8833,1.0,0.0
3.0,9.0,1.0,27.9,0.0,0.0
1.0,26.0,1.0,78.85,0.0,1.0
3.0,22.0,0.0,7.225,1.0,0.0
3.0,28.5,0.0,7.2292,1.0,0.0

